Age,AnnualIncome,BankruptcyHistory,BaseInterestRate,CheckingAccountBalance,CreditCardUtilizationRate,CreditScore,EducationLevel_Associate,EducationLevel_Bachelor,EducationLevel_Doctorate,EducationLevel_High School,EducationLevel_Master,EmploymentStatus_Employed,EmploymentStatus_Self-Employed,EmploymentStatus_Unemployed,Experience,HomeOwnershipStatus_Mortgage,HomeOwnershipStatus_Other,HomeOwnershipStatus_Own,HomeOwnershipStatus_Rent,InterestRate,JobTenure,LengthOfCreditHistory,LoanAmount,LoanApproved,LoanDuration,LoanPurpose_Auto,LoanPurpose_Debt Consolidation,LoanPurpose_Education,LoanPurpose_Home,LoanPurpose_Other,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Widowed,MonthlyDebtPayments,MonthlyIncome,MonthlyLoanPayment,NetWorth,NumberOfCreditInquiries,NumberOfDependents,NumberOfOpenCreditLines,PreviousLoanDefaults,RiskScore,SavingsAccountBalance,TotalAssets,TotalDebtToIncomeRatio,TotalLiabilities,LoanApprovedAI,LoanApprovedCompare
45.0,26032.0,False,0.268999,665.0,0.231310783993895,467.0,True,False,False,False,False,True,False,False,24.0,True,False,False,False,0.2587266314276737,7.0,14.0,17499.0,False,36.0,False,False,True,False,False,True,False,False,False,581.0,2169.333333333333,703.8591139641082,28301.0,3.0,4.0,3.0,False,60.0,2540.0,30050.0,0.592282935140185,1749.0,False,True
38.0,47162.0,False,0.256728,127.0,0.6488074136588605,552.0,False,False,False,True,False,True,False,False,16.0,True,False,False,False,0.2424139887793326,8.0,24.0,27728.0,False,60.0,False,False,False,True,False,False,False,True,False,365.0,3930.1666666666665,801.5680576114028,1480.0,0.0,3.0,3.0,False,55.0,2158.0,37462.0,0.2968240679219887,453928.0,False,True
47.0,26925.0,False,0.235069,1615.0,0.1964835571677911,548.0,False,False,True,False,False,False,True,False,26.0,True,False,False,False,0.2468296877746484,5.0,9.0,14069.0,False,48.0,True,False,False,False,False,False,True,False,False,571.0,2243.75,464.00338736888745,49697.0,0.0,0.0,2.0,False,61.0,1102.0,85500.0,0.4612828467382228,35803.0,True,False
58.0,51278.0,False,0.233559,1931.0,0.393795776384494,583.0,False,True,False,False,False,True,False,False,36.0,True,False,False,False,0.2490761083682059,6.0,22.0,40059.0,False,36.0,False,False,False,True,False,False,False,True,False,361.0,4273.166666666667,1590.7820973207247,4204.0,1.0,1.0,2.0,False,56.0,946.0,50862.0,0.4567530942674966,78937.0,True,False
37.0,179937.0,False,0.217274,8575.0,0.524537707243813,625.0,False,True,False,False,False,True,False,False,18.0,False,False,False,True,0.2607288,4.0,10.0,34774.0,True,48.0,False,True,False,False,False,False,False,True,False,701.0,14994.75,1173.9119082934185,39421.0,2.0,3.0,5.0,False,36.8,1355.0,75785.0,0.1250378904812296,36364.0,True,True
37.0,81589.0,False,0.2507649999999999,2524.0,0.0664533023622935,547.0,False,False,False,True,False,True,False,False,14.0,False,True,False,False,0.2832121085904033,5.0,12.0,29265.0,False,48.0,False,True,False,False,False,False,True,False,False,357.0,6799.083333333333,1025.3340722447929,15691.0,1.0,2.0,4.0,False,50.0,7864.0,21768.0,0.2033118296208743,6077.0,False,True
58.0,144165.0,False,0.299248,395.0,0.1574705728368731,577.0,True,False,False,False,False,True,False,False,35.0,False,False,False,True,0.314417386422672,4.0,28.0,32748.0,False,120.0,False,False,False,True,False,False,True,False,False,151.0,12013.75,898.3667490649135,9086.0,0.0,3.0,1.0,False,47.0,16369.0,30052.0,0.0873471438197826,40338.0,True,False
49.0,73477.0,True,0.302671,141.0,0.2043446138024926,455.0,True,False,False,False,False,True,False,False,28.0,True,False,False,False,0.2953751486835963,3.0,26.0,15171.0,False,72.0,False,False,False,True,False,False,True,False,False,451.0,6123.083333333333,451.8932326101254,57332.0,0.0,3.0,4.0,False,60.0,15150.0,64535.0,0.1474572831133756,7203.0,False,True
34.0,85816.0,False,0.263658,106.0,0.3793879110294676,515.0,False,False,False,True,False,True,False,False,10.0,False,False,False,True,0.2163974206671641,4.0,14.0,16158.0,True,60.0,True,False,False,False,False,False,False,True,False,136.0,7151.333333333333,442.9630303850591,44034.0,1.0,4.0,2.0,False,39.2,4783.0,77360.0,0.0809587532001108,33326.0,True,True
46.0,26333.0,False,0.312087,1151.0,0.1687991426021565,490.0,False,False,False,True,False,True,False,False,22.0,False,False,True,False,0.2592887004211266,8.0,12.0,32087.0,False,84.0,True,False,False,False,False,True,False,False,False,195.0,2194.4166666666665,831.327434894068,35599.0,0.0,0.0,10.0,False,57.0,1368.0,74112.0,0.4676994348812827,38513.0,False,True
