Age,Income,Loan_Amount,Credit_Score,Savings,Financial_Status
44,40607.52634756389,9496.572495333638,340.9714016219797,11784.427355095797,Medium
38,36472.502684731735,8166.647185071333,327.2507176531564,14438.1074130468,Medium
46,43013.094694774285,7326.960308389018,430.6485796853707,13205.439458093046,Medium
55,55552.0902347306,12159.168443527476,557.4834455462345,16771.707794152917,High
37,42985.89265730957,4419.834648846763,421.2081163303439,13252.171819913152,Medium
37,33144.789214293975,6091.631348479343,404.7067971685882,10923.109779453178,Medium
55,60004.10248884207,7001.824374204385,491.03376007762574,11046.456425010423,High
47,43091.639638265566,12517.25303392563,451.41438689171736,17221.762513660644,Medium
35,30761.86393751558,6536.901012109409,353.8187794351283,14264.786489745155,Medium
45,49092.97309171606,13333.768069632624,436.889643777675,8006.65172519867,Medium
35,39609.68189003808,8605.89985303899,336.5352387065853,7370.126383015386,Medium
35,39257.04968381327,7896.1964267020485,263.8628337672864,16571.638852456534,Medium
42,35421.0129589093,7227.544611438001,362.363292443018,13296.104035511737,Medium
20,17670.245109639745,1907.2999286251597,179.85300754303634,6010.653819811095,Low
22,26114.942960016608,5445.943147793891,65.33871625274188,5320.849778851289,Low
34,34207.709202819475,6656.971981454036,372.0322160004927,7107.892047430097,Medium
29,23631.53576901268,3121.459369029398,221.3660450144465,8116.747073080849,Low
43,45291.58969562721,5566.283166983363,464.3419066632569,15823.268217497134,Medium
30,26425.963705042646,4082.5925417128324,329.9458002235455,8952.966121857002,Medium
25,33972.624241961064,8641.93445053246,222.8153478443808,9330.852257679144,Low
54,61724.20731209129,15226.555836022608,590.0274162850769,21497.12144551969,High
37,40020.48713177784,7809.978294617819,407.1598672462467,9358.565458661422,Medium
40,46805.03352384887,8297.885592482577,384.551926458268,12908.624701975325,Medium
25,25323.956750616904,4327.3592563409575,228.91201924041508,10513.180682807033,Low
34,37827.18747187508,4931.029303380996,394.8616392832178,7401.28909960021,Medium
41,48388.601476510376,10950.358115214487,421.6006919703832,12834.158484197415,Medium
28,29227.493408971564,9347.152787794272,332.2348584184071,14016.973573879082,Low
43,41724.06414242858,6813.161828321428,310.5512962823632,11879.248858620553,Medium
33,24476.89020911442,6434.323243150797,334.9242548509731,13105.039614011368,Medium
37,36584.33237139253,6500.267398579665,291.1295456515314,10676.589368370684,Medium
33,37117.11592281156,5759.521850270045,328.7105746256618,15298.761051950969,Medium
58,62728.16713783815,13971.816510859724,615.6910104172941,12463.596333488684,High
39,41521.82532859205,5176.0769092677565,476.95700728745516,11894.868573030852,Medium
29,26293.5045251888,6732.939381872612,243.0916635781407,4263.43591456233,Low
48,38115.892155262045,11056.476214611732,453.71475973490084,12297.369551157319,Medium
27,24523.924509976325,5115.697652796362,265.22335464622313,5979.543644114416,Low
42,40478.275644730245,10186.135653973546,371.2734449269055,11799.131078598437,Medium
20,18435.355164049928,4295.3036810749,248.92798643946287,2435.1259479140404,Low
26,29092.781784889623,7634.2598423122245,256.49527273171884,7584.781327321463,Low
41,50928.382055074195,5155.589390148292,416.0978511688023,13681.399513443534,Medium
47,47617.64600920546,8702.449477986262,501.00865633870797,9504.290602135301,Medium
41,39916.34105421769,8056.373714297931,406.41442418122955,10395.202529911585,Medium
38,36703.890934979536,2255.585231057302,339.12304359120674,19022.97639828907,Medium
36,36621.92383453857,5028.09453284293,356.84898808507666,11787.711416597547,Medium
25,20858.531198258006,3372.8014912824274,207.19093202433055,2046.776387454699,Low
32,32600.992793730275,8296.4119896467,325.3990444558243,5398.602405720637,Medium
35,37254.061681659,5586.3133073707995,399.8468860400898,11177.712736118583,Medium
50,51048.430317872444,8363.842025388047,441.2510853863834,15301.998115722714,High
43,45287.709670023905,10234.971561312384,353.38144992789535,11137.67159489736,Medium
22,24168.738046742677,1164.1787084198909,222.4624967959837,13179.944870663927,Low
43,34140.51658876778,4457.511865112856,391.6100191628047,20756.18646260596,Medium
36,39184.35079197701,6476.815399861307,361.58726372059846,10006.84992045083,Medium
33,29644.925771687733,3704.5864638432895,346.02017603048506,12518.870597780216,Medium
46,40520.80418498021,6380.641410680702,352.815688553573,16569.498513963008,Medium
50,44477.74086072502,11146.867583375964,534.4924713829271,18167.619418432732,High
49,51167.70805236265,11551.947675825159,431.51657485223757,12779.744034678288,Medium
31,29887.125363875733,7777.72843170425,308.8826024717655,15118.34765166161,Medium
36,27590.156080072946,9417.553320614466,327.0308832280785,10594.208411296773,Medium
43,45390.18907596142,11082.268640029604,402.4021492607853,14165.976243075333,Medium
49,41801.95934600586,5542.819582346138,574.6978969808994,14706.13053068493,Medium
35,35699.106792591054,7900.823919858934,365.96337603978304,10080.941483103725,Medium
38,39192.49462836527,6540.783600860883,425.23442014767954,12235.213379813578,Medium
28,32427.885408475224,4105.1515080191275,287.5470677101371,4842.343278619449,Low
28,36908.423932334255,6720.829264417411,311.0006787327477,2486.5409424790523,Low
48,41176.618370497294,6139.409040208497,500.8689181071726,13759.85857195882,Medium
53,52737.630719684756,7097.78278825536,542.7228072343413,13258.717089230193,High
39,37618.32352477891,9067.145488163434,445.357795458234,13342.511033959921,Medium
50,52168.74842980481,10975.572035021796,507.8252726922135,16301.370476134947,High
43,44078.34385466809,8873.46531174302,544.2574286108852,12940.440059090106,Medium
33,31237.2687863169,4840.173190553726,378.0265786406219,14344.724371663155,Medium
43,40795.48905694572,10087.659269164249,373.0229651130155,12881.316963411091,Medium
55,49417.74572407976,12360.605784120951,541.1725145508509,12125.54747116231,High
39,43939.30791203255,7970.609030094908,409.8538799745334,11029.067275036752,Medium
55,57296.02090799765,8645.357917460457,552.2248417856018,20012.90330056503,High
13,17588.840988975688,1749.5033085409864,164.3436709486084,-1752.7640188816285,Low
48,46448.019317622435,11275.667355048885,519.8508352416936,14117.89101885007,Medium
40,36715.822656527846,10654.382445603573,332.02065071005177,13726.386103676865,Medium
37,31608.42466685386,6746.926793247343,434.05387723582476,19056.72700358335,Medium
40,41794.5879187033,7500.654064383475,375.1591267256978,15624.772910782818,Medium
20,14801.033877358826,3676.6217839498777,170.20477470676215,6397.849150093457,Low
37,46243.31534483275,7949.786017821944,340.04388036472295,12662.27767904084,Medium
43,36461.787094532796,7437.865399879953,470.42882029952915,7206.913919145222,Medium
54,55368.30059606251,5011.629884856832,526.6466150926107,13050.833442282114,High
34,41834.27353606893,9185.538003294194,306.82241778311464,12152.867013331892,Medium
31,33995.44879631905,9789.377894325098,288.80204212782314,9783.502189968955,Medium
34,34878.3685624589,5575.200280788575,250.26541705420615,11066.223559792179,Medium
49,44157.58176519052,7666.693262162452,447.89181180242565,14802.343961032084,Medium
43,36091.15405716148,8325.798955219556,368.020822567345,12884.727307255456,Medium
34,37850.25054458793,6424.992232542454,326.5415334752054,10508.791945436393,Medium
45,52530.73620387473,10991.037154325919,483.20966351367963,10331.894447205585,Medium
40,37805.750047609145,8109.278883290076,427.69379504666136,11313.219082965203,Medium
49,43304.69246191825,8214.754339257634,552.8375248773292,10967.686105713476,Medium
32,19709.152847254907,3763.181098883902,371.69879086483104,7741.210629785277,Medium
36,31096.17578168731,8931.268369639347,333.57016425408113,14387.7150276136,Medium
36,35431.7157875048,8399.022482328499,360.95357003768567,10257.743068507309,Medium
25,32995.61620418367,7121.119756183638,248.37219528892908,9287.518425842423,Low
42,45365.668461164845,6463.626498557813,312.44736586390565,12945.88366233765,Medium
42,43525.42702353377,12076.873799056659,359.1370231545128,11445.324999320177,Medium
40,37999.40169349434,4512.610985885526,391.6356661424444,8974.29388017473,Medium
37,34084.17141372022,8819.20204280296,361.3551782429596,9899.833042771927,Medium
25,32028.23798753982,1180.8344656061968,275.6162527102583,8049.535337941574,Low
35,36003.692703791945,5419.337236603064,373.1820814767924,12240.460332372779,Medium
36,25486.996540394888,10322.045860895918,271.46537489501327,11167.01059367186,Medium
31,27632.301760513787,7862.728508951979,335.92983672287653,11248.440953837133,Medium
38,33708.91984114187,6507.559169025636,388.9293603226882,6839.489692320882,Medium
44,41268.679954112675,7762.325914356624,471.16865908223144,15799.987672750505,Medium
58,60814.553301425425,11801.244221670884,633.3432793820795,14015.23097789414,High
41,40462.77559102875,9228.281981521446,402.85585136060143,15250.513851474065,Medium
42,41615.67296498169,10903.158765365393,482.27941184900396,14107.21753023853,Medium
39,45567.365806626185,6887.531990783011,345.52997730534764,6089.431313565101,Medium
20,16517.694551066557,776.4298730255969,152.71309398138908,8210.888472554789,Low
39,48320.99762943675,8113.93725409752,411.4386095067771,14685.292019498735,Medium
40,36643.46204314457,7085.138324983211,381.56162273474104,15773.635381037715,Medium
64,64445.99098306286,10198.732590503105,653.0816282309485,16894.205147681932,High
